11;104,104,5,44,34,23,104,221,104,215,89,221,1009,221,34,44,104,221,282,44,104,5,104,5,89,215,44,221,104,44,104,25,44,104,104,104,104,388,5,1167,104,104,221
12;256,1021,557,256,26,33,3,301,435,1073,1021,1170,26,212,1021,557,765,212,190,1021,576,18,287,18,3,26,1170,715,83,228,92,436,93,248,93,92,18,1683,39,365,435,52,3,92,248,557,1148,287,93,83,18
13;222,38,95,618,22,1508,618,95,1508,22,222,222,222,222,22,222,618,282,139,89,23,123,60,282,60,222,222,135,38,222,135,60,84,8,213,11,149,50,310,3,130,642,38,159
14;35,973,80,23,147,37,37,209,874
15;85,85,981,835,835,835,835,181,217,771,502,771,1048,540,1412,1412,1412,140,140,140,1615,981,835,835,981,835,835,790,85,502,861,241,25,771,771,835,443,771,1427,476,1127,835,835,835,351,140,184,48,1246,1427,181,25,351,502,241,790,217,96,835,771,424,97,835,48,47,47,835,437,771,414,140,1615,981,831,151,502,790,1453,229,174,1127,1412,141,1412,140,835,987,1427,1048,1402,861,443,241,140,96,1237,1412,181,835,48,799,47,140,85
16;1267,1373,7,142,37,106,109,84,23,8,69,404,375,115,29,277
17;326,34,1353,34,1353,117,326,133,60,16,544,506,44,871,326,34,173,615,62,254,95,1023,117,215,117,44,871,326,133,1353,34,714,34,1353,5,348,34,1353,871,34,44,104,11,326,117,326,117,117,60
18;39,39,39,1,39,39,912,320,525,153,39,125,153,125,159,912,39,39,159,125,320,365,912,525,125,39,125,912,320,162,39,39,26,321,39,1097,162,39,525,320,912,365,125,39,39,153,153,39,159,39,39,125,364,329,365,39,39,39,39,39,39,125,125,39,39,39,39,39,39,39,125,39
19;1627,1627,1627,1627,838,203,1627,273,304,1627,1627,1627,1627
20;85,181,85,17,326,44,751,861,502,85,1602,246,871,442,150,85,85,19,515,427,246,218,1602,515,427,1005,218,1005,246,1602,25,1602,751,46,218,11,44,25,44,5,11,34,6,104,129,198,1009,85
21;268,268,151,103
22;115,32,69,8,353,134,26,141,109,403,403,110,109,14,40,8,29,66,106,84,403,35,14,109,115,403,84,403,32
23;1237,141,147,139,141,668,44,106,115,69,37,26,141,139,1099,26,668,149
24;80,29,106,35,29,57,66,69,66,57,29,35,29,263,263,57,29,29,57,29,66,106,115,69,35,84,23,35,69,66,57,29,383,209,193
25;181,105,114,351,999,104,221,103,1487,105,181,105,105,181,57,181,105,114,105,57,105,105,23,104,104,861,96,181,57,105,105,1487,241,273,775,571,103,19,105,122,443,57,351,999,478,141,139,26,23,210,89,1374,105,1453,502,443,57,241,293,181,181,103,105,105,431,672,375,2315,1247,218,104,85,443,1249,388
26;139,147,149,84,35,69,139,149,1177,337,390,534
27;15,15,351,999,443,181,217,181,140,502,861,241,790,15,836,416,184,184,41,41,443,140,21,234,15,15,15,836,416,835,416,140,15,416,836,416,15,15,15,15,836,416,15,416,836,15,15,836,416,15,15,836,416,15,15,999,502,861,999,443,181,241,790,140
28;447,69,40,134,447,447,40,24,134,772,375,841,1216,1135,488,174,375,506,116,211,209,209,447,23,84,447,447,335
29;66,57,84,32,35,115,106,66,1433
30;35,115,140,35,874,100,35,115,140,140,9,100,9,16,283,109,100,283,100,415,125,1629,19,121,44,104,874
31;32,1260,237,659,46,46,697,29,8,1179,697,24,308,655,308,659,406,8,32,237,25,134,946
32;1058,528,169,488,1135,84,554,61,37,84,209,84,332
33;849,23,849,26,337,1531,849
34;5,44,348,62,871,478,44,220,153,5,5,348,5,203,348,348,44,5,348,442,62,44,62,348,5,348,442,348,871,5,44,348
35;84,32,84,32
36;36,564,617,348,5,44
37;61,293
38;26,90,3,50,130,668,23,141,149,11,50,3,642,90,130,546,23,11,188,159,668,84,513,664,849,668,282,139,23,23,282,3,130,89,50,130,1,84,104,26,23,668,412,11,173,50,130,188,642,282,135,60,390,147,3,3,642,130,513,50,188,513,173,141,849
